STYLE#,MILIMETER    /    NOTE,DIMENSIONS,AVAILABLE  LENGTH,PAGE /  SUB-PAGE HEADER,DESCRIPTION,AVG.WT.,TRIPLE KEY UNIT PRICE IN USD,PAGE #,U= DO NOT PRINT WEIGHT W=PRINT WEIGHT,SECTION ,COLLECTION TYPE
WLBOX45-24     ,     ,,"24""       ",,24  14KT WG BOX W/LOB LK 0.6MM,1.5,191.01,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WOCB063        ,1.1MM,,          ,,1.1MM WHITE OCT. BOX CHAIN    ,1,125.85,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WOCB063-16     ,     ,,"16""       ",,16  1.1MM WHITE OCT. BOX CHAIN,2.7,339.78,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WOCB063-18     ,     ,,"18""       ",,18  1.1MM WHITE OCT. BOX CHAIN,3.1,390.12,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WOCB063-20     ,     ,,"20""       ",,20  1.1MM WHITE OCT. BOX CHAIN,3.3,415.29,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WOCB063-24     ,     ,,"24""       ",,24  1.1MM WHITE OCT. BOX CHIAN,4,503.4,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WRBX100        ,1.7MM,,          ,,14KT WG OPEN BOX CHAIN        ,1,135.3,4,W,ROYAL CHAIN GOLD                                  ,OPEN BOX CHAIN                                    
WRBX100-16     ,     ,,"16""       ",,14KT 16  WG OPEN BOX CHAIN    ,3.1,419.43,4,W,ROYAL CHAIN GOLD                                  ,OPEN BOX CHAIN                                    
WRBX100-18     ,     ,,"18""       ",,14KT 18  WG OPEN BOX CHAIN    ,3.3,446.49,4,W,ROYAL CHAIN GOLD                                  ,OPEN BOX CHAIN                                    
WRBX100-20     ,     ,,"20""       ",,14KT 20  WG OPEN BOX CHAIN    ,3.9,527.67,4,W,ROYAL CHAIN GOLD                                  ,OPEN BOX CHAIN                                    
WRBX100-24     ,     ,,"24""       ",,24  WG OPEN BOX CHAIN         ,4.7,635.91,4,W,ROYAL CHAIN GOLD                                  ,OPEN BOX CHAIN                                    
WRBX140        ,2.4MM,,          ,,14KT WG ROUND BOX CHAIN       ,1,135.3,4,W,ROYAL CHAIN GOLD                                  ,OPEN BOX CHAIN                                    
WRBX140-16     ,     ,,"16""       ",,14KT 16  WG OPEN BOX CHAIN    ,5.1,690.03,4,W,ROYAL CHAIN GOLD                                  ,OPEN BOX CHAIN                                    
WRBX140-18     ,     ,,"18""       ",,14KT 18  WG OPEN BOX CHAIN    ,5.8,784.74,4,W,ROYAL CHAIN GOLD                                  ,OPEN BOX CHAIN                                    
WRBX140-20     ,     ,,"20""       ",,14KT 20  WG OPEN BOX CHAIN    ,6.5,879.45,4,W,ROYAL CHAIN GOLD                                  ,OPEN BOX CHAIN                                    
WRBX140-24     ,     ,,"24""       ",,24  WG OPEN BOX CHAIN         ,7.7,1041.81,4,W,ROYAL CHAIN GOLD                                  ,OPEN BOX CHAIN                                    
WSING15        ,0.8MM,,          ,,0.8MM CLASSIC SINGPORE        ,1,128.1,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
WSING15-16     ,     ,,"16""       ",,16  0.8MM WG CLASSIC SING     ,0.6,76.86,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
WSING15-18     ,     ,,"18""       ",,18  0.8MM CLASSIC SINGAPORE   ,0.7,89.67,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
WSING20        ,1.0MM,,          ,,1.0MM WG CLASSIC SINGAPORE 020,1,125.85,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
WSING20-16     ,     ,,"16""       ",,16  1.0MM WG CLASSIC SING 020 ,0.9,113.25,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
WSING20-18     ,     ,,"18""       ",,18  1.0MM WG CLASSIC SING 020 ,1,125.85,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
WSING20-20     ,     ,,"20""       ",,20  1.0MM WG CLASSIC SING 020 ,1.1,138.42,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
WSING20-24     ,     ,,"24""       ",,14KW 24  1.0MM SINGAPORE      ,1.4,176.19,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
WSING25        ,1.5MM,,          ,,14K WHITE SINGAPORE 025       ,1,125.85,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
WSING25-10     ,     ,,"10""       ",,WHITE SINGAPORE 10  14KT      ,0.8,100.68,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
WSING25-16     ,     ,,"16""       ",,16  WHITE SINGAPORE 1.5MM     ,1.4,176.19,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
WSING25-18     ,     ,,"18""       ",,18  WHITE GOLD SINGAPORE 1.5MM,1.6,201.36,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
WSING25-20     ,     ,,"20""       ",,20  WHITE GOLD SINGAPORE 1.5MM,1.8,226.53,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
WSING25-24     ,     ,,"24""       ",,24  WHITE GOLD SINGAPORE 1.5MM,1.95,245.4,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
WSING30        ,1.7MM,,          ,,14KW 1.7MM CLASSIC SINGAPORE  ,1,125.85,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
WSING30-16     ,     ,,"16""       ",,16  1.7MM WG CLASSIC SING 030 ,2.2,276.87,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
WSING30-18     ,     ,,"18""       ",,18  1.7MM WG CLASSIC SING. 030,2.4,302.04,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
WSING30-20     ,     ,,"20""       ",,20  1.7MM WG CLASSIC SING 030 ,2.8,352.38,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
WSING35        ,2.1MM,,          ,,14K WG 2.1MM SINGAPORE CHAIN  ,1,125.85,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
WSING35-07     ,     ,,"7""        ",,7.25  14K WG SINGAPORE BRACELE,1.2,151.02,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
WSING35-16     ,     ,,"16""       ",,16  WG 2.1MM SINGAPORE CHAIN  ,2.8,352.38,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
WSING35-18     ,     ,,"18""       ",,18  WG 2.1MM SINGAPORE CHAIN  ,3.2,402.72,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
WSING35-20     ,     ,,"20""       ",,20  WG 2.1MM SINGAPORE CHAIN  ,3.6,453.06,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
DRW20          ,0.6MM,,          ,,14KT YG DC ROUND WHEAT        ,1,130.35,5,W,ROYAL CHAIN GOLD                                  ,WHEAT+FRANCO COLLECTION                           
DRW20-16       ,     ,,"16""       ",,16  0.6MM 14KT YG DC RND WHEAT,1,130.35,5,W,ROYAL CHAIN GOLD                                  ,WHEAT+FRANCO COLLECTION                           
DRW20-18       ,     ,,"18""       ",,18  0.6MM 14KT YG DC RND WHEAT,1.1,143.37,5,W,ROYAL CHAIN GOLD                                  ,WHEAT+FRANCO COLLECTION                           
DRW20-20       ,     ,,"20""       ",,20  0.6MM 14K YG DC RND WHEAT ,1.4,182.49,5,W,ROYAL CHAIN GOLD                                  ,WHEAT+FRANCO COLLECTION                           
DRW25          ,1.0MM,,          ,,0.8MM 14KT YG DC RND WHEAT    ,1,127.35,5,W,ROYAL CHAIN GOLD                                  ,WHEAT+FRANCO COLLECTION                           
DRW25-16       ,     ,,"16""       ",,16  0.8MM 14K YG DC RND WHEAT ,1.8,229.23,5,W,ROYAL CHAIN GOLD                                  ,WHEAT+FRANCO COLLECTION                           
DRW25-18       ,     ,,"18""       ",,18  0.8MM 14K YG DC RND WHEAT ,2.1,267.42,5,W,ROYAL CHAIN GOLD                                  ,WHEAT+FRANCO COLLECTION                           
DRW25-20       ,     ,,"20""       ",,20  0.8MM 14K YG DC RND WHEAT ,2.3,292.89,5,W,ROYAL CHAIN GOLD                                  ,WHEAT+FRANCO COLLECTION                           
DRW30          ,1.1MM,,          ,,1.1 MM 14KT YG DC RND WHEAT   ,1,126.6,5,W,ROYAL CHAIN GOLD                                  ,WHEAT+FRANCO COLLECTION                           
DRW30-16       ,     ,,"16""       ",,16  1.1MM 14K YG DC RND WHEAT ,2.3,291.18,5,W,ROYAL CHAIN GOLD                                  ,WHEAT+FRANCO COLLECTION                           
DRW30-18       ,     ,,"18""       ",,18  1.1MM 14K YG DC RND WHEAT ,2.9,367.14,5,W,ROYAL CHAIN GOLD                                  ,WHEAT+FRANCO COLLECTION                           
DRW30-20       ,     ,,"20""       ",,20  1.1MM 14K YG DC RND WHEAT ,3.2,405.12,5,W,ROYAL CHAIN GOLD                                  ,WHEAT+FRANCO COLLECTION                           
DRW30-24       ,     ,,"24""       ",,24  1.1MM 14KT YG DC RND WHEAT,3.5,443.1,5,W,ROYAL CHAIN GOLD                                  ,WHEAT+FRANCO COLLECTION                           
DRW30-30       ,     ,,"30""       ",,30  1.1MM 14K YG DC RND WHEAT ,4.3,544.38,5,W,ROYAL CHAIN GOLD                                  ,WHEAT+FRANCO COLLECTION                           
DWSP20         ,0.6MM,,          ,,0.6MM 14K WG DC RND WHEAT     ,1,131.85,5,W,ROYAL CHAIN GOLD                                  ,WHEAT+FRANCO COLLECTION                           
DWSP20-16      ,     ,,"16""       ",,16  0.6MM 14K WG DC RND WHEAT ,1.2,158.22,5,W,ROYAL CHAIN GOLD                                  ,WHEAT+FRANCO COLLECTION                           
DWSP20-18      ,     ,,"18""       ",,18  0.6MM 14K WG DC RND WHEAT ,1.3,171.39,5,W,ROYAL CHAIN GOLD                                  ,WHEAT+FRANCO COLLECTION                           
DWSP20-20      ,     ,,"20""       ",,20  0.6MM 14K WG DC RND WHEAT ,1.4,184.59,5,W,ROYAL CHAIN GOLD                                  ,WHEAT+FRANCO COLLECTION                           
DWSP25         ,1.0MM,,          ,,0.8MM 1KK WG DC RND WHEAT     ,1,128.85,5,W,ROYAL CHAIN GOLD                                  ,WHEAT+FRANCO COLLECTION                           
DWSP25-16      ,     ,,"16""       ",,16  0.8MM 14K WG DC RND WHEAT ,1.8,231.93,5,W,ROYAL CHAIN GOLD                                  ,WHEAT+FRANCO COLLECTION                           
DWSP25-18      ,     ,,"18""       ",,18  0.8MM 14K WG DC RND WHEAT ,2.1,270.57,5,W,ROYAL CHAIN GOLD                                  ,WHEAT+FRANCO COLLECTION                           
DWSP25-20      ,     ,,"20""       ",,20  0.8MM 14K WG DC RND WHEAT ,2.3,296.34,5,W,ROYAL CHAIN GOLD                                  ,WHEAT+FRANCO COLLECTION                           
DWSP30         ,1.1MM,,          ,,1.1MM 14K WG DC RND WHEAT     ,1,128.1,5,W,ROYAL CHAIN GOLD                                  ,WHEAT+FRANCO COLLECTION                           
DWSP30-16      ,     ,,"16""       ",,16  1.1MM 14K WG DC RND WHEAT ,2.4,307.44,5,W,ROYAL CHAIN GOLD                                  ,WHEAT+FRANCO COLLECTION                           
DWSP30-18      ,     ,,"18""       ",,18  1.1MM 14K WG DC RND WHEAT ,2.9,371.49,5,W,ROYAL CHAIN GOLD                                  ,WHEAT+FRANCO COLLECTION                           
DWSP30-20      ,     ,,"20""       ",,20  1.1MM 14K WG RND WHEAT    ,3,384.3,5,W,ROYAL CHAIN GOLD                                  ,WHEAT+FRANCO COLLECTION                           
DWSP30-24      ,     ,,"24""       ",,24  1.1MM 14K WG DC RND WHEAT ,3.5,448.35,5,W,ROYAL CHAIN GOLD                                  ,WHEAT+FRANCO COLLECTION                           
DWSP30-30      ,     ,,"30""       ",,30  1.1MM 14K WG DC RND WHEAT ,4.3,550.83,5,W,ROYAL CHAIN GOLD                                  ,WHEAT+FRANCO COLLECTION                           
FOX080         ,0.8MM,,          ,,14K YG FOXTAIL CHAIN          ,1,128.85,5,W,ROYAL CHAIN GOLD                                  ,FOXTAIL                                           
FOX080-16      ,     ,,"16""       ",,16  YG FOX CHAIN              ,1.5,193.26,5,W,ROYAL CHAIN GOLD                                  ,FOXTAIL                                           
FOX080-18      ,     ,,"18""       ",,14KY FOXTAIL 18               ,1.7,219.03,5,W,ROYAL CHAIN GOLD                                  ,FOXTAIL                                           
FOX080-20      ,     ,,"20""       ",,20  YG FOX CHAIN              ,2,257.7,5,W,ROYAL CHAIN GOLD                                  ,FOXTAIL                                           
